"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"NDUFA4L2",6106.49850255811,-1.21778123175701,0.276984953460624,-4.3965609559009,1.09979485414959e-05,0.0156131952638196,0.146315368747594,"down"
"CA3-AS1",19.7639441080105,-0.830470640229763,0.189500461508186,-4.38242014621103,1.17368190446824e-05,0.00230222054115622,2.29753316530199,"down"
"PRLHR",1.34975685807359,-2.42187446485478,0.562586858973088,-4.30488986051953,1.67068833633445e-05,0.0235010244803618,0.124592667945516,"down"
"RP11-713N11.6",24.8775683826431,-1.01489389640709,0.237520420144208,-4.27287007909007,1.92972904595652e-05,0.00337595770405929,2.27180966890904,"down"
"FAM124A",151.795235767022,-0.679571065200709,0.159730187871932,-4.25449361986334,2.09522633492046e-05,0.00347400572467301,2.27180966890904,"down"
"RP11-354P11.2",1.9054431884628,-1.1740712114755,0.278178755594086,-4.2205638923365,2.43691974506653e-05,0.00502616614581267,1.73564779609268,"down"
"SRL",43.1236831075334,-0.803457599345242,0.190546953349283,-4.21658591345967,2.48028818350642e-05,0.00287560159895275,3.62801028336934,"down"
"PSG5",10.2795613482134,-2.01006605568526,0.479710968363573,-4.19016071811357,2.78756939580739e-05,0.0044556931187537,2.27180966890904,"down"
"KANTR",50.8193361727236,-0.728579397713141,0.176102251667443,-4.13725202724274,3.51489977067388e-05,0.00342652396321723,3.94931629578788,"down"
"DEFA3",1.54369545054099,-1.75949259304566,0.42859278744762,-4.10527812080993,4.0382872835756e-05,0.00762550823021164,1.64730756104725,"down"
"CLCA1",3.75763891644743,-2.29990945512844,0.569304508166317,-4.03985814645358,5.34835395241525e-05,0.00748402150922215,2.29753316530199,"down"
"CYP1A1",29.9485663332148,-1.67136357083547,0.416670130022946,-4.01123922836377,6.04008677669971e-05,0.00789050829170687,2.2998803540049,"down"
"HELT",1.85855248181982,-1.59165944604431,0.399153619462942,-3.98758615338594,6.674896830624e-05,0.010043519156145,1.73564779609268,"down"
"LANCL1-AS1",27.4804345011749,-0.788465489094548,0.197867464591316,-3.98481625426938,6.7532361588525e-05,0.00789050829170687,2.60133713933961,"down"
