"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"AC004870.5",1.67364386321854,3.16792569495213,0.712945474369194,4.44343334636505,8.85345925084778e-06,0.00230222054115622,1.73564779609268,"up"
"PTGER3",153.341579228824,0.985835030934742,0.221984327236638,4.44101186424674,8.95368576269054e-06,0.00194559104550862,2.2998803540049,"up"
"RP11-547D24.1",10.7065543400354,1.09828394741685,0.247547479165448,4.4366597919699,9.13655188780401e-06,0.00194876575214607,2.29753316530199,"up"
"VN2R19P",3.67946627953368,1.74216617989531,0.393138394984119,4.43143229489372,9.36092063427353e-06,0.00220646007598808,2.00131310576831,"up"
"RTL1",5.81360402967317,2.74218800028413,0.62081765093698,4.41705869049541,1.00053070022365e-05,0.00229402962522362,2.00131310576831,"up"
"FOXB1",32.4017570839637,1.42024442671006,0.3221400955159,4.4087788092183,1.0395512945278e-05,0.00157204840565261,3.62801028336934,"up"
"PRSS3",151.839065708768,1.49379280083462,0.340089100333794,4.39235717748225,1.12128288542436e-05,0.00228089858773777,2.29753316530199,"up"
"FAM155A",124.566700642271,0.977175169980718,0.222672363126905,4.38839897443316,1.14188155241446e-05,0.00229402962522362,2.29753316530199,"up"
"SLC13A2",170.659113414905,1.8995811624911,0.432936900387526,4.38766286909425,1.14575190183426e-05,0.00167493110072255,3.5232534993216,"up"
"AREG",2616.45823789545,1.18960559775391,0.271357621176113,4.38390339876191,1.16571481240542e-05,0.00812462365744522,0.418619337818074,"up"
"IRS4",20.0880136514265,1.98317354359578,0.452571280391617,4.38201368385487,1.17587421874526e-05,0.00231199456614695,2.27180966890904,"up"
"LINC02495",12.6175254031832,1.1280213336794,0.257799796121189,4.37557108520417,1.21114962962233e-05,0.00314622598647239,1.57971631346626,"up"
"CPA6",105.950506755774,1.30225698453774,0.298073609611523,4.36891070710675,1.24867805384535e-05,0.00167493110072255,3.94931629578788,"up"
"IZUMO2",8.15465428182626,1.72935438460016,0.396304111182808,4.36370538634772,1.27877768304126e-05,0.00246436331688052,2.29753316530199,"up"
"SYT4",6.85030651218898,1.86970365052854,0.428535761071493,4.36300495868445,1.28288034539419e-05,0.00325321548578072,1.57971631346626,"up"
"GC",14.8773553214533,3.37207838266685,0.776269320744354,4.34395420835826,1.39940697448466e-05,0.00262499969023798,2.2998803540049,"up"
"PCDHA7",25.0473318313708,1.12328381443312,0.258841097118365,4.33966563632459,1.42699674056016e-05,0.00194639341942446,3.62801028336934,"up"
"CYP2T1P",168.672658987656,0.912714012059044,0.210648181233999,4.33288342065083,1.47169049118118e-05,0.00200798109871143,3.5232534993216,"up"
"SLC25A24P1",3.43322311453764,1.91400764340524,0.443268540576262,4.3179415370127,1.57491130743873e-05,0.00289184568813005,2.27180966890904,"up"
"APOB",26.345044772215,1.27692558921747,0.296068635261879,4.31293773515726,1.61099499393934e-05,0.00290100781401471,2.29753316530199,"up"
"CLCNKB",66.4501485114486,0.999643233828152,0.232053556055989,4.30781260506502,1.64876979369021e-05,0.00200798109871143,3.94931629578788,"up"
"CKM",39.0332954074842,1.1017096535775,0.256929943998176,4.28797685638901,1.80307874427385e-05,0.00217401851695165,3.94931629578788,"up"
